chapter,independent,bundle_draft,true_score,is_top_scorer,source_file
keystone_ch3,yes,DRAFT 1,90,no,Ch 3 Draft 1 export(62) 90%.docx
keystone_ch3,yes,DRAFT 2,92,yes,Ch 3 Draft 2 export(62) 92%.docx
keystone_ch3,yes,DRAFT 3,72,no,Ch 3 Draft 3 export(62) 72%.docx
keystone_ch11_first,yes,DRAFT 1,81,no,ch 11 draft 3 export 81%.docx
keystone_ch11_first,yes,DRAFT 2,79,no,ch 11 draft 1 export 79%.docx
keystone_ch11_first,yes,DRAFT 3,90,yes,ch 11 draft 2 export 90%.docx
keystone_ch11b,yes,DRAFT 1,85,no,Ch 11b Draft 2 export 85%.docx
keystone_ch11b,yes,DRAFT 2,95,yes,Ch 11b Draft 1 export 95%.docx
keystone_ch11b,yes,DRAFT 3,94,no,Ch 11b Draft 3 export 94%.docx
western_romance_ch2,yes,DRAFT 1,81,no,xh 2 WR Draft 3 export(62) 81%.docx
western_romance_ch2,yes,DRAFT 2,85,yes,ch 2 WR Draft 1 export(62) 85%.docx
western_romance_ch2,yes,DRAFT 3,80,no,ch 2 WR Draft 2 export(62) 80%.docx
western_romance_ch10,yes,DRAFT 1,92,no,ch 10 draft 3 export 92%.docx
western_romance_ch10,yes,DRAFT 2,75,no,ch 10 draft 2 export 75%.docx
western_romance_ch10,yes,DRAFT 3,95,yes,ch 10 draft 1 export 95%.docx
keystone_ch10b_TUNING_CASE,no,DRAFT 1,84,no,Keystone 10b d2 export 84%.docx
keystone_ch10b_TUNING_CASE,no,DRAFT 2,97,yes,Keysstone 10b  d1 export 97%.docx
keystone_ch10b_TUNING_CASE,no,DRAFT 3,91,no,keystone 10b draft 3 export 91%.docx
keystone_ch12_prior_pick,no,DRAFT 1,91,no,ch 12 d 3 export(62) 91%.docx
keystone_ch12_prior_pick,no,DRAFT 2,97,yes,ch 12 d 2 export(62) 97%.docx
keystone_ch12_prior_pick,no,DRAFT 3,90,no,ch 12 d 1 export(62) 90%.docx
keystone_ch25_prior_pick,no,DRAFT 1,76,no,The_Keystone_Ch25_ Draft 1.txt
keystone_ch25_prior_pick,no,DRAFT 2,93,yes,The_Keystone_Ch25_Draft 2.docx
keystone_ch25_prior_pick,no,DRAFT 3,33,no,The_Keystone_Ch25_ Draft 3.txt
