word_or_phrase,category,notes
tapestry,abstract_noun,"metaphorical use; 'tapestry of X'"
landscape,abstract_noun,"metaphorical; 'landscape of grief' etc."
realm,abstract_noun,"'the realm of' constructions"
tableau,abstract_noun,"reaches for painterly effect"
mosaic,abstract_noun,"metaphorical"
fabric,abstract_noun,"'fabric of' constructions"
testament,abstract_noun,"'testament to'"
symphony,abstract_noun,"metaphorical"
cacophony,abstract_noun,"overused for mixed sounds"
chorus,abstract_noun,"metaphorical"
kaleidoscope,abstract_noun,"metaphorical"
patchwork,abstract_noun,"metaphorical"
ache,abstract_noun,"'a dull ache,' 'the ache of'"
burden,abstract_noun,"'the burden of'"
shadow,abstract_noun,"metaphorical; 'shadow of doubt'"
truth,abstract_noun,"'the truth was' closure"
memory,abstract_noun,"'the memory of' filler"
darkness,abstract_noun,"metaphorical"
light,abstract_noun,"metaphorical"
bond,abstract_noun,"overused relational"
connection,abstract_noun,"overused"
belonging,abstract_noun,"abstract emotion"
presence,abstract_noun,"'a presence' filler"
air (of),abstract_noun,"'an air of melancholy'"
aura,abstract_noun,"overused atmosphere"
stillness,abstract_noun,"overused"
silence (as subject),abstract_noun,"'the silence stretched,' 'the silence held'"
moment,abstract_noun,"'in that moment,' 'the moment hung'"
breath,abstract_noun,"'held her breath' cliche"
heart,abstract_noun,"'her heart' as seat of emotion"
soul,abstract_noun,"overused"
spirit,abstract_noun,"overused"
wonder,emotion_noun,"named abstract emotion"
curiosity,emotion_noun,"named abstract emotion"
caution,emotion_noun,"named abstract emotion"
hope,emotion_noun,"named abstract emotion"
nostalgia,emotion_noun,"named abstract emotion"
gratitude,emotion_noun,"named abstract emotion"
resolve,emotion_noun,"named abstract emotion"
empathy,emotion_noun,"named abstract emotion"
protection,emotion_noun,"named abstract emotion"
longing,emotion_noun,"named abstract emotion"
yearning,emotion_noun,"named abstract emotion"
dance,metaphor_verb,"'a dance of,' 'danced across'"
weave,metaphor_verb,"'wove together,' 'weaving through'"
navigate,metaphor_verb,"'navigate emotions,' 'navigate change'"
unfold,metaphor_verb,"'unfolded before her'"
whisper,metaphor_verb,"wind/leaves/silence whispering"
echo,metaphor_verb,"'echoed in the silence'"
shimmer,metaphor_verb,"overused for light/emotion"
ripple,metaphor_verb,"'rippled through the crowd'"
cascade,metaphor_verb,"'cascaded down'"
delve,metaphor_verb,"'delve into'"
embark,metaphor_verb,"'embark on'"
foster,metaphor_verb,"'foster a sense of'"
underscore,metaphor_verb,"'underscored by'"
align,metaphor_verb,"'aligned with,' 'aligning'"
showcase,metaphor_verb,"'showcases,' 'showcasing'"
surpass,metaphor_verb,"'surpassing,' 'surpasses'"
garner,metaphor_verb,"'garnered'"
remarked,dialogue_tag,"inflated said"
murmured,dialogue_tag,"inflated said"
whispered,dialogue_tag,"overused tag"
breathed,dialogue_tag,"'she breathed' as tag"
sighed,dialogue_tag,"'he sighed' as tag"
